Time,main.plant_node,main.setpoint,main.out
4.371000e-02,3.399395e+00,3.300000e+00,2.033706e-01
4.372000e-02,3.199584e+00,3.300000e+00,-1.966116e-01
4.373000e-02,3.399236e+00,3.300000e+00,2.030509e-01
4.374000e-02,3.199744e+00,3.300000e+00,-1.962922e-01
4.375000e-02,3.399076e+00,3.300000e+00,2.027317e-01
4.376000e-02,3.199903e+00,3.300000e+00,-1.959732e-01
4.377000e-02,3.398918e+00,3.300000e+00,2.024131e-01
4.378000e-02,3.200063e+00,3.300000e+00,-1.956548e-01
4.379000e-02,3.398759e+00,3.300000e+00,2.020949e-01
4.380000e-02,3.200222e+00,3.300000e+00,-1.953369e-01
4.381000e-02,3.398600e+00,3.300000e+00,2.017772e-01
4.382000e-02,3.200380e+00,3.300000e+00,-1.950195e-01
4.383000e-02,3.398442e+00,3.300000e+00,2.014601e-01
4.384000e-02,3.200539e+00,3.300000e+00,-1.947026e-01
4.385000e-02,3.398284e+00,3.300000e+00,2.011434e-01
4.386000e-02,3.200697e+00,3.300000e+00,-1.943862e-01
4.387000e-02,3.398126e+00,3.300000e+00,2.008273e-01
4.388000e-02,3.200855e+00,3.300000e+00,-1.940703e-01
4.389000e-02,3.397969e+00,3.300000e+00,2.005117e-01
4.390000e-02,3.201013e+00,3.300000e+00,-1.937549e-01
4.391000e-02,3.397812e+00,3.300000e+00,2.001965e-01
4.392000e-02,3.201171e+00,3.300000e+00,-1.934400e-01
4.393000e-02,3.397655e+00,3.300000e+00,1.998819e-01
4.394000e-02,3.201328e+00,3.300000e+00,-1.931257e-01
4.395000e-02,3.397498e+00,3.300000e+00,1.995678e-01
4.396000e-02,3.201485e+00,3.300000e+00,-1.928118e-01
4.397000e-02,3.397342e+00,3.300000e+00,1.992542e-01
4.398000e-02,3.201642e+00,3.300000e+00,-1.924984e-01
4.399000e-02,3.397185e+00,3.300000e+00,1.989410e-01
4.400000e-02,3.201798e+00,3.300000e+00,-1.921856e-01
4.401000e-02,3.397030e+00,3.300000e+00,1.986284e-01
4.402000e-02,3.201954e+00,3.300000e+00,-1.918732e-01
4.403000e-02,3.396874e+00,3.300000e+00,1.983163e-01
4.404000e-02,3.202110e+00,3.300000e+00,-1.915613e-01
4.405000e-02,3.396718e+00,3.300000e+00,1.980047e-01
4.406000e-02,3.202266e+00,3.300000e+00,-1.912499e-01
4.407000e-02,3.396563e+00,3.300000e+00,1.976936e-01
4.408000e-02,3.202422e+00,3.300000e+00,-1.909391e-01
4.409000e-02,3.396408e+00,3.300000e+00,1.973829e-01
4.410000e-02,3.202577e+00,3.300000e+00,-1.906287e-01
4.411000e-02,3.396254e+00,3.300000e+00,1.970728e-01
4.412000e-02,3.202732e+00,3.300000e+00,-1.903188e-01
4.413000e-02,3.396099e+00,3.300000e+00,1.967632e-01
4.414000e-02,3.202887e+00,3.300000e+00,-1.900094e-01
4.415000e-02,3.395945e+00,3.300000e+00,1.964540e-01
4.416000e-02,3.203041e+00,3.300000e+00,-1.897005e-01
4.417000e-02,3.395791e+00,3.300000e+00,1.961454e-01
4.418000e-02,3.203196e+00,3.300000e+00,-1.893921e-01
